gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,regulation
AT3G11820,1964.70651376415,2.38908908935209,0.203465668344388,11.7419764660655,7.76502630843592e-32,2.9941729430958698e-30,up
AT4G01950,1665.24817323983,3.0998500590494,0.263994489046507,11.7421013985762,7.75356231674213e-32,2.9941729430958698e-30,up
AT5G14700,375.534529076627,3.75862399921556,0.320256270804204,11.7363010247299,8.30395017608207e-32,3.19652569299405e-30,up
AT3G44540,348.342358628654,-6.99925906347305,0.596593439071753,-11.7320416301649,8.73265713609998e-32,3.35583538515842e-30,down
AT3G04320,1785.8351644746,2.75708983130634,0.235048372124035,11.7298826892169,8.95827424601533e-32,3.4366921029365394e-30,up
AT5G17650,813.375518726275,2.94005729658329,0.251403638436551,11.6945693979099,1.3587462543794601e-31,5.203767858298e-30,up
AT2G16760,341.882388465987,-3.75636225174707,0.321339403425002,-11.6897031976465,1.4388857025025301e-31,5.50136401586245e-30,down
AT5G48250,337.66259981626,3.38325193031206,0.289642792076229,11.6807737767617,1.59833868457396e-31,6.1006859656475195e-30,up
AT2G39650,395.378864995931,3.37392050759299,0.289051375126036,11.6723904396644,1.76396001148952e-31,6.72149079588825e-30,up
AT3G13310,3096.21773222783,2.39834766665999,0.205521753127462,11.6695562886356,1.8237192967823502e-31,6.937501890588229e-30,up
AT5G42010,601.147601183662,3.44230613634622,0.295245382304911,11.6591362393984,2.06122754117349e-31,7.82781470930358e-30,up
AT5G60800,521.617511050792,3.04632759112747,0.261540706201552,11.6476231764086,2.3594810747397e-31,8.945442007519829e-30,up
AT3G28740,11856.5957132845,2.6055786561598,0.223954307303477,11.6344208224092,2.75453481147737e-31,1.04257066331897e-29,up
AT1G32920,1029.83146052593,3.17813685594968,0.273289453491929,11.6291968655993,2.9283975042095996e-31,1.10652290978462e-29,up
AT3G11430,378.672567472504,-7.53809495941984,0.648418445975662,-11.6253555188077,3.06315492004716e-31,1.15550999287789e-29,down
AT3G21680,1183.53387279255,2.96883647448325,0.255604496447773,11.6149618482547,3.4594277125405603e-31,1.30282047654278e-29,up
AT3G02555,591.704800036835,3.3092287329536,0.28504191756591,11.6096213539835,3.68242635342694e-31,1.38359623570031e-29,up
AT4G15280,253.550573179055,3.73443185252731,0.32166938270296,11.6095346754708,3.68616097491409e-31,1.38359623570031e-29,up
AT5G24590,1431.53912236936,2.46549037253928,0.212427216041151,11.6062829353357,3.8290148586106803e-31,1.43483283159481e-29,up
AT3G23430,1758.68865283631,-3.06593240773967,0.264166834485204,-11.6060459054764,3.83964030162272e-31,1.43643232211038e-29,down
AT5G06760,464.811524028594,4.24405659384833,0.365688434636953,11.6056626129337,3.8568842979411e-31,1.44049847266574e-29,up
AT4G34410,3631.82098772233,11.2193668271184,0.966729683373385,11.6054849872496,3.8649015702265203e-31,1.44111082311614e-29,up
AT5G16830,2036.3719889669,2.37225121555201,0.20447962164387,11.6014065190497,4.05360638264071e-31,1.50898335786078e-29,up
AT3G22620,5332.82096133731,-2.7565941414137,0.237678309533322,-11.5980046594333,4.21798103324963e-31,1.56759045110705e-29,down
AT1G19850,1515.24532766554,3.17647630718723,0.2741203039875,11.5878913782763,4.746745234084551e-31,1.76120616271551e-29,up
AT5G67430,274.118167764571,-4.58099465731701,0.395906096044404,-11.5709121508531,5.78641944673228e-31,2.14344153800595e-29,down
AT2G45970,302.222397748236,-4.86979622809217,0.420877814241471,-11.5705700403068,5.8095395166604205e-31,2.1484837138864e-29,down
AT1G21790,524.876050263778,3.61740344573202,0.313162644035799,11.5511971642394,7.279923955855199e-31,2.68786211938732e-29,up
AT4G14680,571.120825760996,2.83338704930334,0.245688907979484,11.5324174485726,9.056437408350798e-31,3.33832397518915e-29,up
